"isReserved","locID","OMSCHR","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","SugbyINBO","Latitude","Longitude","VHAG","updateRes","CATC","startDate","restricties"
"FALSE","I_2860_1","Duffelstraat, opw overstort","Bemortelloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2860","Sint-Katelijne-Waver","YES","51.0780082257276","4.51100890185033","9147","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2500_1","Mechelsesteenweg, opw brug en monding Babelse beek","Lachenebeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2500","Lier","YES","51.1166478878681","4.53409155084624","8839","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2550_1","Mechelsesteenweg, juist onder hoogspanningslijn, opw. weg","Babbelsebeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2550","Kontich","YES","51.1141384006522","4.45016980927375","9070","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2500_2","Liersestwg, opw brug","Itterbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2500","Duffel","YES","51.1103484925723","4.55684492188849","8526","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2500_3","Koningshooikt,Tallaart, zijweg, links aan einde verharde weg","Tallaartloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2500","Lier","YES","51.1019665965796","4.57030275737254","8917","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2500_4","bocht Haagstraat, net voorbij n°13, naast verharde weg","Haagbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2500","Lier","YES","51.0917890336344","4.57672477423183","8863","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2200_1","NA","Kleine Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2200","Herentals","YES","51.1834807843877","4.84860034637277","8502","FALSE",1,NA,""
"FALSE","I_2460_1","St-Jozef-Olen, verlenging Neerheide (einde zandweg)","Kleine Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2460","Kasterlee","YES","51.1948086587786","4.88226364582145","8502","FALSE",1,NA,""
"FALSE","I_2460_2","Ten Aard, grens Lichtaart (Bobbejaanland), opw. Lichtaartseweg/Olenstw.","Kleine Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2460","Kasterlee","YES","51.1987612878894","4.9030521372668","8502","FALSE",1,NA,""
"FALSE","I_2520_1","Emblem; afw. Netekanaal","Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2520","Ranst","YES","51.1712783759563","4.6298545261009","8505","FALSE",1,NA,""
"FALSE","I_2240_1","Viersel; zijwegje Bergen (tgo. n°91)","Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2240","Zandhoven","YES","51.1826328616524","4.64861046379437","8505","FALSE",1,NA,""
"FALSE","I_2242_1","Pulderbos; Blauwhoef, opw(BIO) en afw(FC) brugje","Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2242","Zandhoven","YES","51.2053414646875","4.6862499471874","8505","FALSE",1,NA,""
"FALSE","I_2243_1","Pulsebaan, afw. klein beekje en brug","Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2243","Zandhoven","YES","51.21155547511","4.69828458236392","8505","FALSE",1,NA,""
"FALSE","I_2240_2","Halle, kruising Berkenlaan en Boshuisweg, thv van bezoekersbord","Bakelansbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2240","Zoersel","YES","51.2366391510615","4.65835690587885","8641","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2290_1","Reebergenlaan, parallel met E34, afw brug","De Delfte Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2290","Vorselaar","YES","51.2431826526888","4.74449111422198","8713","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2390_2","Oostmalle, St Laurentiuslaan, opw brugje","Lopende Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2390","Malle","YES","51.2907393843592","4.73896963838503","8782","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2390_3","Oostmalle, D'Aesten, afw verharde weg","Aestenbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2390","Malle","YES","51.2941980833941","4.76448661506633","8614","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2290_2","Sassenhout, Poederleesesteenweg, opw brug"," ","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2290","Vorselaar","YES","51.2061834756378","4.81964379132709","56510","FALSE",1,NA,""
"FALSE","I_2460_3","Tielen; Walravens, BIO afw brug & FC opw brug","De Aa","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2460","Kasterlee","YES","51.2429577949734","4.87248420229384","8504","FALSE",1,NA,""
"FALSE","I_2340_1","St Corneliusstraat, opw brug","Laakbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2340","Beerse","YES","51.3128148258017","4.83767363122319","8572","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2360_1","wandelpad in reservaat De Liereman, opw stuw","Lieremansloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2360","Oud-Turnhout","YES","51.3371295079988","5.01153318685332","8728","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2360_2","zandweg, opw reservaat De Liereman, thv brugje","Brakeleerloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2360","Oud-Turnhout","YES","51.3343258542391","5.01470851297278","43667","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2370_1","Roest, zijweg Poederstr, opwaarts weg en baangrachten","De Wamp","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2370","Arendonk","YES","51.3343984072033","5.11832250048222","8508","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2480_1","Halve Rooien, zijweg Zanddijkstr, opw brug","Desselse Neet","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2480","Dessel","YES","51.2623832471822","5.15007126774899","8710","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2560_1","Hellestraat, afw brug","Visbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2560","Nijlen","YES","51.1376513735818","4.66424271615868","8870","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2270_1","Herlaar, aan kasteel van Herlaar, afw brug en verval(BIO), opw brug(FC)","Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2270","Herenthout","YES","51.1218073068602","4.74224213026731","8507","FALSE",1,NA,""
"FALSE","I_2222_1","Wiekevorst;Valleistraat, (FC) opw en (Bio) afw brug en verval","Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2222","Heist-op-den-Berg","YES","51.1155493725477","4.79811729682034","8507","FALSE",1,NA,""
"FALSE","I_2222_2","Wiekevorst; Morkhovenseweg-Wiekevorstseweg, opw brug en overstort","Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2222","Heist-op-den-Berg","YES","51.1113552567229","4.80687517124659","8507","FALSE",1,NA,""
"FALSE","I_2260_1","Rooiveld, afw brug","Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2260","Westerlo","YES","51.1021603796092","4.83248779872346","8507","FALSE",1,NA,""
"FALSE","I_2200_2","Rossem, Wouwerkenshof, afw brug","Stapkensloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2200","Herentals","YES","51.1528545355561","4.81938533348492","9153","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_2235_1","Houtvenne, Linieweg, afw brugje","Steenkensbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2235","Hulshout","YES","51.0619955611143","4.80233247967286","8518","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
