"","OMSCHR","VHAG","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","locID","SugbyINBO","isReserved","Latitude","Longitude","updateRes"
"67","Stelen, Kemeldijk-Wilders, 300m opw duiker onder Albertkanaal",8501,"Grote Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2440,"Geel","I_2440_2","YES","FALSE",51.1275503689447,4.98786169836811,"FALSE"
"68","zijwegje Zandstraat, afw Tombroekloop",8501,"Grote Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2440,"Geel","I_2440_3","YES","FALSE",51.14953785217,5.02598427196293,"FALSE"
"69","A. Stocletlaan, opw. weg (op grens met Rumst - Lage Vosbergstraat)",9278,"Duffelse en Rumstse Scheibeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2840,"Rumst","I_2840_2","YES","FALSE",51.0881466016566,4.4684930796194,"FALSE"
"70","Westkapelle, Hazegrasstraat, net voorbij splitsing",2125,"Isabellavaart","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","West-Vlaanderen",8300,"Knokke-Heist","I_8300_1","YES","FALSE",51.3283796838953,3.34234585348098,"FALSE"
"71","Duffelstraat, opw overstort",9147,"Bemortelloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2860,"Sint-Katelijne-Waver","I_2860_1","YES","FALSE",51.0780082257276,4.51100890185033,"FALSE"
"72","Mechelsesteenweg, opw brug en monding Babelse beek",8839,"Lachenebeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2500,"Lier","I_2500_1","YES","FALSE",51.1166478878681,4.53409155084624,"FALSE"
"73","Mechelsesteenweg, juist onder hoogspanningslijn, opw. weg",9070,"Babbelsebeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2550,"Kontich","I_2550_1","YES","FALSE",51.1141384006522,4.45016980927375,"FALSE"
"74","Liersestwg, opw brug",8526,"Itterbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2500,"Duffel","I_2500_2","YES","FALSE",51.1103484925723,4.55684492188849,"FALSE"
"75","Koningshooikt,Tallaart, zijweg, links aan einde verharde weg",8917,"Tallaartloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2500,"Lier","I_2500_3","YES","FALSE",51.1019665965796,4.57030275737254,"FALSE"
"76","bocht Haagstraat, net voorbij n°13, naast verharde weg",8863,"Haagbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2500,"Lier","I_2500_4","YES","FALSE",51.0917890336344,4.57672477423183,"FALSE"
